,WWMF,WME,W1,WWMF vs WME,WWMF vs W1,WWMF vs (WME and W1)
2020 01 03 01 00,4,4,0,0,1,1
2020 01 03 02 00,4,3,0,1,1,2
2020 01 03 03 00,4,3,0,1,1,2
2020 01 03 04 00,4,3,0,1,1,2
2020 01 03 05 00,4,3,0,1,1,2
2020 01 03 06 00,4,3,0,1,1,2
2020 01 03 07 00,4,3,0,1,1,2
2020 01 03 08 00,4,3,0,1,1,2
2020 01 03 09 00,4,3,0,1,1,2
2020 01 03 10 00,6,2,0,1,1,2
2020 01 03 11 00,4,3,0,1,1,2
2020 01 03 12 00,4,3,0,1,1,2
2020 01 03 13 00,4,3,0,1,1,2
2020 01 03 14 00,4,3,0,1,1,2
2020 01 03 15 00,4,3,0,1,1,2
2020 01 03 16 00,4,3,0,1,1,2
2020 01 03 17 00,4,3,0,1,1,2
2020 01 03 18 00,4,3,0,1,1,2
2020 01 03 19 00,40,3,0,0,0,0
2020 01 03 20 00,40,3,0,0,0,0
2020 01 03 21 00,0,2,0,0,1,1
2020 01 03 22 00,0,2,0,0,1,1
2020 01 03 23 00,4,4,0,0,1,1
2020 01 04 00 00,4,4,0,0,1,1
2020 01 04 01 00,0,4,0,0,1,1
2020 01 04 02 00,0,4,0,0,1,1
2020 01 04 03 00,0,4,0,0,1,1
2020 01 04 04 00,0,4,0,0,1,1
2020 01 04 05 00,0,2,0,0,1,1
2020 01 04 06 00,0,4,0,0,1,1
2020 01 04 07 00,0,4,0,0,1,1
2020 01 04 08 00,33,4,1,1,0,1
2020 01 04 09 00,33,4,1,1,0,1
2020 01 04 10 00,33,4,1,1,0,1
2020 01 04 11 00,0,4,0,0,1,1
2020 01 04 12 00,0,4,0,0,1,1
2020 01 04 13 00,4,4,0,0,1,1
2020 01 04 14 00,4,4,0,0,1,1
2020 01 04 15 00,4,4,0,0,1,1
2020 01 04 16 00,4,4,0,0,1,1
2020 01 04 17 00,6,4,0,0,1,1
2020 01 04 18 00,6,2,0,1,1,2
2020 01 04 19 00,6,2,0,1,1,2
2020 01 04 20 00,0,2,0,0,1,1
2020 01 04 21 00,0,1,0,1,1,2
2020 01 04 22 00,0,1,0,1,1,2
2020 01 04 23 00,0,1,0,1,1,2
2020 01 05 00 00,6,2,0,1,1,2
