,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 11 02 01 00,40,6,6505,3,15168,7,7739,9,11855,6,8308,7,20690,7,10209,9,12784,1,1,1,1,4
2019 11 02 02 00,40,3,12358,6,13327,7,14504,0,18028,6,14563,3,19613,7,15740,9,20030,0,1,1,1,3
2019 11 02 03 00,32,4,1007,3,6686,2,6929,30,10163,4,1101,5,7410,2,8891,30,10163,1,1,1,1,4
2019 11 02 04 00,32,4,3093,3,6750,2,9965,30,12067,4,4177,5,10304,30,12067,2,12999,1,1,1,0,3
2019 11 02 05 00,32,3,7820,4,7947,2,15234,30,15642,4,11353,3,13859,30,15642,2,20329,0,1,1,0,2
2019 11 02 06 00,40,3,9054,4,13142,7,15667,0,16699,3,14922,6,15834,7,16390,30,19220,0,1,0,1,2
2019 11 02 07 00,40,3,11072,4,15333,7,17219,0,19463,6,16881,3,17966,7,18741,30,20828,0,1,1,1,3
2019 11 02 08 00,40,3,11985,6,12361,7,11462,0,14051,6,13102,3,18172,7,12243,9,17802,0,1,1,1,3
2019 11 02 09 00,32,4,7134,3,7926,2,14290,30,14864,4,9954,3,13848,30,14864,2,18521,1,1,1,0,3
2019 11 02 10 00,32,4,4704,3,6375,1,12677,30,12683,4,5944,5,10997,30,12683,2,14869,1,0,1,0,2
2019 11 02 11 00,4,3,6625,4,10671,0,10138,7,11734,3,10558,4,14279,7,11818,0,16158,1,1,1,0,3
2019 11 02 12 00,40,6,7898,3,8715,7,6195,0,7626,6,8078,3,13412,7,6798,9,12847,1,1,1,1,4
2019 11 02 13 00,40,6,4396,3,13465,7,3695,0,8927,6,5584,7,17267,7,5191,9,10420,1,1,1,1,4
2019 11 02 14 00,40,6,4313,3,13133,7,3881,0,8910,6,5154,7,16781,7,5386,9,10043,1,1,1,1,4
2019 11 02 15 00,40,6,8996,3,9537,7,6303,0,7729,6,10010,3,14548,7,7379,0,13225,1,1,1,1,4
2019 11 02 16 00,40,6,10925,3,12078,7,8636,0,11058,6,13340,3,18371,7,11289,13,14661,1,1,1,1,4
2019 11 02 17 00,40,6,9658,3,17068,7,9944,9,11494,6,13336,14,20729,20,13301,13,13303,1,1,1,0,3
2019 11 02 18 00,40,6,8712,3,14528,7,8712,9,11974,6,11043,8,20835,7,12340,13,13167,1,1,1,1,4
2019 11 02 19 00,40,3,13158,6,13954,7,13628,0,15691,6,16556,3,20085,7,17381,13,18658,0,1,1,1,3
2019 11 02 20 00,4,3,9951,6,14476,7,12512,0,13117,3,15747,6,16007,7,14479,13,17989,1,0,1,0,2
2019 11 02 21 00,4,3,5333,4,7243,0,12792,1,14728,4,9411,3,9536,30,14776,7,15079,1,1,0,0,2
2019 11 02 22 00,4,4,3748,3,4625,1,11953,30,11990,4,4222,5,8520,30,11990,1,14049,0,0,0,0,0
2019 11 02 23 00,4,4,3281,3,4226,1,12564,30,12590,4,3463,5,7574,30,12590,1,14974,0,0,0,0,0
2019 11 03 00 00,4,4,3068,3,4100,1,13205,30,13220,4,3128,5,7198,30,13220,2,15177,0,0,0,0,0
2019 11 03 01 00,4,4,3075,3,4198,1,14052,30,14060,4,3177,5,7324,30,14060,2,15690,0,0,0,0,0
2019 11 03 02 00,4,4,3111,3,3907,1,16053,30,16056,4,3111,5,7018,30,16056,2,18090,0,0,0,0,0
2019 11 03 03 00,4,4,3425,3,4594,1,17178,30,17178,4,3425,5,7299,30,17178,3,19606,0,0,0,0,0
2019 11 03 04 00,33,4,3117,3,3963,2,17699,30,18086,4,3117,5,7035,30,18086,3,18400,1,0,1,0,2
2019 11 03 05 00,33,3,5455,4,5621,2,18171,30,18545,4,7237,3,10096,30,18545,3,20389,0,0,1,0,1
2019 11 03 06 00,40,3,9678,4,13400,7,18055,1,19653,6,14302,3,16066,7,18099,30,19662,0,1,1,1,3
2019 11 03 07 00,72,3,14630,4,16227,1,23878,30,23890,4,22567,3,23190,30,23890,20,25207,0,0,0,0,0
2019 11 03 08 00,72,12,11200,6,17568,18,9074,18,9074,12,11468,13,18674,21,9074,19,9111,1,1,1,0,3
2019 11 03 09 00,4,3,2512,4,10707,0,1356,7,5941,3,3765,6,11824,0,2609,7,6025,1,1,1,1,4
2019 11 03 10 00,4,3,2614,4,10880,0,1321,7,5780,3,3906,6,11578,0,2613,7,5804,1,1,1,1,4
2019 11 03 11 00,4,3,3651,4,11154,0,1572,7,6142,3,4964,6,13067,0,2904,7,6306,1,1,1,1,4
2019 11 03 12 00,4,2,16005,4,18282,0,1637,7,6209,2,20487,4,20732,0,2976,7,6450,0,1,0,1,2
2019 11 03 13 00,0,2,15323,1,18484,0,678,7,7116,2,18326,4,19167,0,1117,7,7194,0,1,0,1,2
2019 11 03 14 00,4,3,12547,4,16272,0,2637,7,6409,3,14463,4,19526,0,4553,7,6993,1,1,1,1,4
2019 11 03 15 00,0,2,17979,1,20676,0,2566,7,6618,2,22352,12,22442,0,4368,7,7216,0,1,0,1,2
2019 11 03 16 00,0,2,16994,1,17073,0,1331,7,6388,2,20418,12,22599,0,2418,7,6576,0,1,0,1,2
2019 11 03 17 00,0,2,15169,1,17180,0,935,7,7045,2,18053,4,20735,0,1555,7,7245,0,1,0,1,2
2019 11 03 18 00,0,2,16003,4,18762,0,642,7,6487,2,19546,4,19920,0,1255,7,6487,0,1,0,1,2
2019 11 03 19 00,4,3,14528,4,15587,0,943,7,6231,3,15410,4,17301,0,1844,7,6243,1,1,1,1,4
2019 11 03 20 00,0,2,16979,4,18035,0,1389,7,6883,4,19483,5,20296,0,2370,7,7041,0,1,0,1,2
2019 11 03 21 00,0,2,14639,1,16912,0,1789,7,8458,2,17310,4,17991,0,2577,7,8458,0,1,0,1,2
2019 11 03 22 00,4,4,14517,5,14968,0,2022,7,8641,4,14517,5,14968,0,2924,7,8641,0,1,0,1,2
2019 11 03 23 00,0,2,15397,4,17037,0,2038,7,8657,4,17037,5,17487,0,2938,7,8657,0,1,0,1,2
2019 11 04 00 00,0,1,13008,2,14846,0,2267,7,8827,2,17042,1,17834,0,3303,7,8827,1,1,0,1,3
