,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 12 25 01 00,6,2,11426,4,15447,0,3419,7,9599,2,14046,4,15633,0,4986,7,9599,1,1,1,1,4
2019 12 25 02 00,4,4,13535,5,14290,0,3246,7,9512,4,13681,5,14436,0,4683,7,9512,0,1,0,1,2
2019 12 25 03 00,6,2,8073,1,13610,0,3122,7,9499,2,9460,4,16799,0,4440,7,9499,1,1,1,1,4
2019 12 25 04 00,6,2,3266,4,12151,0,3312,7,9700,2,4570,4,12177,0,4675,7,9700,1,1,1,1,4
2019 12 25 05 00,6,2,4068,4,12785,0,3724,7,10068,2,5399,4,12787,0,5225,7,10068,1,1,1,1,4
2019 12 25 06 00,6,2,6864,1,13735,0,3496,7,9833,2,8112,4,16167,0,4883,7,9833,1,1,1,1,4
2019 12 25 07 00,6,2,6520,4,14275,0,3265,7,9674,2,8114,4,14313,0,4554,7,9674,1,1,1,1,4
2019 12 25 08 00,4,4,13541,2,13753,0,2538,7,9092,4,13541,5,14060,0,3576,7,9092,0,1,0,1,2
2019 12 25 09 00,0,2,13893,4,17181,0,1271,7,8033,2,16580,4,17181,0,1851,7,8033,0,1,0,1,2
2019 12 25 10 00,0,2,13242,1,14138,0,539,7,7438,2,15207,1,19379,0,813,7,7438,0,1,0,1,2
2019 12 25 11 00,0,1,9728,2,12234,0,112,7,7108,2,13377,1,13474,0,162,7,7108,1,1,0,1,3
2019 12 25 12 00,0,1,10188,2,11554,0,48,7,7055,2,12660,1,14188,0,72,7,7055,1,1,0,1,3
2019 12 25 13 00,0,1,7344,2,9499,0,0,7,7018,2,9900,1,10615,0,0,7,7018,1,1,0,1,3
2019 12 25 14 00,0,1,5748,2,10045,0,0,7,7018,1,8371,2,10296,0,0,7,7018,1,1,1,1,4
2019 12 25 15 00,0,1,4170,2,11100,0,13,7,7028,1,6081,2,11278,0,21,7,7028,1,1,1,1,4
2019 12 25 16 00,0,1,1772,2,13435,0,13,7,7028,1,2493,2,13604,0,21,7,7028,1,1,1,1,4
2019 12 25 17 00,0,1,824,2,13316,0,93,7,7089,1,1236,2,13342,0,145,7,7089,1,1,1,1,4
2019 12 25 18 00,0,1,1150,2,13194,0,282,7,7234,1,1725,2,13271,0,436,7,7234,1,1,1,1,4
2019 12 25 19 00,0,1,806,2,13518,0,271,7,7227,1,1209,2,13590,0,415,7,7227,1,1,1,1,4
2019 12 25 20 00,0,1,688,2,13784,0,405,7,7329,1,1032,2,13893,0,623,7,7329,1,1,1,1,4
2019 12 25 21 00,0,1,996,2,13628,0,579,7,7469,1,1494,2,13775,0,873,7,7469,1,1,1,1,4
2019 12 25 22 00,0,1,1808,2,13054,0,759,7,7613,1,2702,2,13253,0,1137,7,7613,1,1,1,1,4
2019 12 25 23 00,0,1,2470,2,11988,0,487,7,7414,1,3703,2,12092,0,691,7,7414,1,1,1,1,4
2019 12 26 00 00,0,1,1648,2,12576,0,204,7,7181,1,2472,2,12623,0,298,7,7181,1,1,1,1,4
2019 12 26 01 00,0,1,6760,2,9439,0,0,7,7018,2,9748,1,9831,0,0,7,7018,1,1,0,1,3
2019 12 26 02 00,6,2,6720,4,13644,0,0,7,7018,2,8498,4,13644,0,0,7,7018,1,1,1,1,4
2019 12 26 03 00,6,2,4406,4,13090,0,0,7,7018,2,5744,4,13090,0,0,7,7018,1,1,1,1,4
2019 12 26 04 00,6,2,5238,4,12594,0,42,7,7053,2,6908,4,12594,0,58,7,7053,1,1,1,1,4
2019 12 26 05 00,6,2,741,4,13761,0,156,7,7148,2,995,4,13761,0,214,7,7148,1,1,1,1,4
2019 12 26 06 00,6,2,630,4,13730,0,348,7,7302,2,864,4,13730,0,492,7,7302,1,1,1,1,4
2019 12 26 07 00,6,2,3217,4,12761,0,756,7,7638,2,4340,4,12761,0,1060,7,7638,1,1,1,1,4
2019 12 26 08 00,4,3,8485,4,9500,0,1322,7,8088,3,8768,4,9500,0,1888,7,8088,1,1,1,1,4
2019 12 26 09 00,4,3,4336,4,8446,0,866,7,7697,3,4550,4,8446,0,1294,7,7697,1,1,1,1,4
2019 12 26 10 00,4,3,2861,4,7900,0,862,7,7704,3,3061,4,7900,0,1262,7,7704,1,1,1,1,4
2019 12 26 11 00,4,3,3176,4,7670,0,1853,7,8538,3,3547,4,7670,0,2595,7,8538,1,1,1,1,4
2019 12 26 12 00,4,3,3755,4,8066,0,2924,7,9195,3,4431,4,8320,0,4149,7,9195,1,1,1,1,4
2019 12 26 13 00,4,3,10305,4,10752,0,4078,7,10027,4,11116,3,11275,0,5836,7,10027,1,1,0,1,3
2019 12 26 14 00,4,4,11157,5,12292,0,5633,7,11583,4,11243,5,12378,0,7860,7,11583,0,1,0,1,2
2019 12 26 15 00,6,2,7890,4,14613,0,4285,7,10461,2,9767,4,14691,0,6028,7,10461,1,1,1,1,4
2019 12 26 16 00,6,2,6198,4,12951,0,3724,7,10031,2,8040,4,12985,0,5255,7,10031,1,1,1,1,4
2019 12 26 17 00,0,1,7548,2,10032,0,2203,7,8801,2,10741,1,11086,0,3149,7,8801,1,1,0,1,3
2019 12 26 18 00,0,1,3348,2,13782,0,801,7,7642,1,4696,2,14311,0,1207,7,7642,1,1,1,1,4
2019 12 26 19 00,0,1,5548,2,13448,0,922,7,7738,1,7746,2,14256,0,1386,7,7738,1,1,1,1,4
2019 12 26 20 00,6,2,8667,1,15440,0,1307,7,8057,2,10236,4,16427,0,1915,7,8057,1,1,1,1,4
2019 12 26 21 00,0,2,10192,1,12594,0,1139,7,7923,2,11556,1,17793,0,1671,7,7923,0,1,0,1,2
2019 12 26 22 00,6,2,5214,4,14150,0,722,7,7587,2,6489,4,14150,0,1072,7,7587,1,1,1,1,4
2019 12 26 23 00,6,2,3494,4,12794,0,828,7,7665,2,4678,4,12794,0,1244,7,7665,1,1,1,1,4
2019 12 27 00 00,6,2,2990,4,12894,0,816,7,7643,2,4023,4,12894,0,1258,7,7643,1,1,1,1,4
