,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 11 02 01 00,40,6,10556,8,19457,9,12451,13,12491,6,15690,8,22439,13,14138,20,16036,1,0,1,0,2
2019 11 02 02 00,40,6,7138,3,21720,7,9169,9,10975,6,10492,8,25030,13,12572,9,12990,1,1,1,0,3
2019 11 02 03 00,40,6,10078,3,21359,9,11927,13,12005,6,13858,8,24406,13,13235,9,14549,1,0,1,0,2
2019 11 02 04 00,40,6,8422,8,18347,7,12193,9,12672,6,12189,8,20027,13,13686,9,15602,1,1,1,0,3
2019 11 02 05 00,51,6,12000,8,18931,9,12694,13,12714,6,17628,8,22002,13,14666,27,16625,1,1,1,0,3
2019 11 02 06 00,52,8,11435,6,13942,10,12029,27,12045,8,12764,6,20417,27,12045,15,12984,1,1,1,0,3
2019 11 02 07 00,52,6,11266,8,13947,9,14866,13,14870,8,15129,6,16325,13,15637,27,16129,0,0,1,0,1
2019 11 02 08 00,40,6,12132,3,18748,7,13333,9,15910,6,15154,7,27015,13,17100,9,18013,1,1,1,0,3
2019 11 02 09 00,40,6,9987,3,15453,7,9140,0,14033,6,11029,3,23711,7,10668,9,17369,1,1,1,1,4
2019 11 02 10 00,40,3,16498,6,17232,7,12757,0,14943,6,18868,3,23824,7,15164,9,19942,0,1,1,1,3
2019 11 02 11 00,4,3,13667,4,17683,0,11726,7,14550,3,18128,4,22475,7,15248,0,18145,1,1,1,0,3
2019 11 02 12 00,4,3,10722,4,15728,0,8782,7,13001,3,14104,4,19596,7,13396,0,13557,1,1,1,0,3
2019 11 02 13 00,4,3,13317,4,18203,0,8217,7,11739,3,16931,4,23053,7,12281,0,12909,1,1,1,0,3
2019 11 02 14 00,6,4,14245,2,15449,0,9448,7,15550,4,15913,3,18109,0,13691,7,15723,0,1,0,1,2
2019 11 02 15 00,6,2,12980,4,13190,0,6951,7,14901,4,13198,5,14642,0,9835,7,14901,1,1,0,1,3
2019 11 02 16 00,4,3,2926,4,9273,0,3174,7,11790,3,3635,4,9273,0,4592,7,11790,1,1,1,1,4
2019 11 02 17 00,4,3,1975,4,9276,0,2412,7,11151,3,2523,4,9312,0,3488,7,11155,1,1,1,1,4
2019 11 02 18 00,4,3,6431,4,16537,0,5433,7,10240,3,9518,6,19517,0,8662,7,11794,1,1,1,1,4
2019 11 02 19 00,40,6,15197,3,22178,7,15722,9,17006,6,20670,14,28280,20,19546,13,19805,1,1,1,0,3
2019 11 02 20 00,40,6,17667,8,24350,13,17554,9,17558,6,25369,14,27015,27,19495,21,19907,1,0,1,0,2
2019 11 02 21 00,40,6,7868,3,20053,7,10257,9,12606,6,10509,8,21589,13,13642,9,14813,1,1,1,0,3
2019 11 02 22 00,40,3,16850,6,17115,7,15101,0,18257,6,21216,3,25688,7,20216,13,20808,0,1,1,1,3
2019 11 02 23 00,4,3,18691,6,20348,9,21837,13,21849,6,25055,8,26588,13,23336,20,23951,1,0,0,0,1
2019 11 03 00 00,4,3,15503,6,17713,7,18892,9,20059,6,20948,3,23861,13,21221,9,22940,1,0,0,0,1
2019 11 03 01 00,40,6,6134,3,19995,7,6637,9,12351,6,8566,7,23185,7,10033,13,13664,1,1,1,1,4
2019 11 03 02 00,40,6,10559,3,19893,7,10608,9,14855,6,14045,7,26913,7,15298,13,16809,1,1,1,1,4
2019 11 03 03 00,40,6,11340,3,16093,7,9803,0,14667,6,13354,3,24628,7,12187,13,17842,1,1,1,1,4
2019 11 03 04 00,40,6,13028,3,15730,7,11962,0,15851,6,15586,3,24027,7,15673,13,18129,1,1,1,1,4
2019 11 03 05 00,40,6,12474,3,16196,7,12648,0,16835,6,14643,3,24806,7,16467,13,18184,1,1,1,1,4
2019 11 03 06 00,4,3,12181,6,13061,7,11241,0,12476,6,14618,3,18575,7,14195,13,17852,1,0,0,0,1
2019 11 03 07 00,40,6,8386,3,16027,7,7227,0,12335,6,9963,7,22131,7,9528,13,15466,1,1,1,1,4
2019 11 03 08 00,40,6,11053,3,21237,7,11949,9,15815,6,15116,8,26634,7,17570,13,18009,1,1,1,1,4
