,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2020 01 02 01 00,6,4,7364,2,8180,0,14746,1,18431,4,7364,5,10323,30,18450,7,19111,0,1,0,0,1
2020 01 02 02 00,6,4,7504,2,8032,0,14227,1,18368,4,7504,5,10395,30,18388,7,18657,0,1,0,0,1
2020 01 02 03 00,6,4,7187,2,8907,0,14451,1,18464,4,7187,5,10097,30,18484,7,18861,0,1,0,0,1
2020 01 02 04 00,6,4,6564,5,9427,0,13785,1,18113,4,6564,5,9427,30,18137,7,18248,0,1,0,0,1
2020 01 02 05 00,4,4,6715,3,6780,0,9435,7,14625,4,6715,5,8776,0,13557,7,14625,0,1,0,1,2
2020 01 02 06 00,4,3,2857,4,6294,0,5418,7,11311,3,4139,4,6294,0,7982,7,11311,1,1,1,1,4
2020 01 02 07 00,4,3,2018,4,5872,0,5805,7,11614,3,3394,4,5872,0,8557,7,11614,1,1,1,1,4
2020 01 02 08 00,4,3,1814,4,5668,0,6451,7,12174,3,3280,4,5668,0,9383,7,12174,1,1,1,1,4
2020 01 02 09 00,4,3,1939,4,5519,0,7222,7,12817,3,3548,4,5519,0,10440,7,12817,1,1,1,1,4
2020 01 02 10 00,4,3,1817,4,5569,0,7235,7,12881,3,3358,4,5569,0,10317,7,12881,1,1,1,1,4
2020 01 02 11 00,4,3,1947,4,5563,0,7376,7,12989,3,3525,4,5563,0,10532,7,12989,1,1,1,1,4
2020 01 02 12 00,4,3,1901,4,5681,0,6850,7,12555,3,3379,4,5681,0,9806,7,12555,1,1,1,1,4
2020 01 02 13 00,4,3,2584,4,6316,0,5807,7,11682,3,3875,4,6316,0,8389,7,11682,1,1,1,1,4
2020 01 02 14 00,4,3,3142,4,6617,0,5312,7,11261,3,4352,4,6617,0,7732,7,11261,1,1,1,1,4
2020 01 02 15 00,4,3,1789,4,5849,0,6091,7,11934,3,3113,4,5849,0,8739,7,11934,1,1,1,1,4
2020 01 02 16 00,4,3,1694,4,5600,0,6985,7,12679,3,3181,4,5600,0,9959,7,12679,1,1,1,1,4
2020 01 02 17 00,4,3,1874,4,5328,0,8474,7,13939,3,3610,4,5328,0,11946,7,13939,1,1,1,1,4
2020 01 02 18 00,4,3,1681,4,5337,0,8256,7,13770,3,3362,4,5337,0,11618,7,13770,1,1,1,1,4
