,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 12 09 01 00,0,1,15132,2,16686,0,1522,7,5901,2,19988,1,21390,0,2910,7,5931,1,1,0,1,3
2019 12 09 02 00,0,1,14098,2,16468,0,1559,7,5622,2,19674,1,20141,0,3054,7,5675,1,1,0,1,3
2019 12 09 03 00,0,1,14686,2,19550,0,3237,7,5982,1,20850,12,22095,0,5660,7,6639,1,1,1,1,4
2019 12 09 04 00,0,1,17421,2,20095,0,2634,7,5459,12,23016,1,24627,0,4835,7,5816,1,1,0,1,3
2019 12 09 05 00,0,2,20414,1,21130,0,2385,7,5083,12,23583,2,25578,0,4546,7,5273,0,1,0,1,2
2019 12 09 06 00,0,2,20254,1,20296,0,3366,7,5704,12,23063,13,25407,0,5858,7,6438,0,1,0,1,2
2019 12 09 07 00,0,2,22287,12,23605,0,5757,7,6816,12,23605,13,26586,7,8617,0,9381,0,1,0,0,1
2019 12 09 08 00,0,2,24052,6,24456,0,5564,7,6370,12,24792,6,25049,7,7963,0,9253,0,1,0,0,1
2019 12 09 09 00,0,2,20884,12,22246,0,5706,7,7257,12,22272,13,25053,7,8997,0,9232,0,1,0,0,1
2019 12 09 10 00,0,2,20235,1,22973,0,3333,7,5720,12,23230,13,25559,0,5802,7,6441,0,1,0,1,2
2019 12 09 11 00,40,3,19047,2,21074,0,4343,7,6300,3,22014,6,22395,0,7310,7,7442,0,0,0,0,0
2019 12 09 12 00,40,3,16718,6,18204,0,5904,7,6796,6,19408,3,20511,7,8508,0,9706,0,0,1,1,2
2019 12 09 13 00,0,2,21516,12,21676,0,6613,7,7340,12,21733,13,24941,7,9371,0,10721,0,1,0,0,1
2019 12 09 14 00,0,1,20485,2,20798,0,5460,7,7868,12,22831,13,25244,0,8595,7,9765,1,1,0,1,3
2019 12 09 15 00,0,1,17863,2,20643,0,3589,7,6320,12,23230,1,25165,0,6114,7,7213,1,1,0,1,3
2019 12 09 16 00,0,1,13268,2,19187,0,1887,7,5357,1,18903,12,22770,0,3685,7,5424,1,1,1,1,4
2019 12 09 17 00,0,1,15171,2,19155,0,2325,7,5685,1,21511,12,22784,0,4278,7,5969,1,1,1,1,4
2019 12 09 18 00,0,1,15384,2,19811,0,2867,7,5655,1,21811,12,22463,0,5194,7,6090,1,1,1,1,4
2019 12 09 19 00,0,2,22661,12,22776,0,4928,7,5333,12,22780,13,26087,7,6261,0,8685,0,1,0,0,1
2019 12 09 20 00,0,1,20405,2,21837,0,5330,7,6081,12,22237,13,25325,7,7434,0,8981,1,1,0,0,2
2019 12 09 21 00,0,1,10159,2,17836,0,1852,7,6094,1,14483,2,20635,0,3333,7,6396,1,1,1,1,4
2019 12 09 22 00,0,1,12804,2,18320,0,2040,7,5982,1,18147,2,21654,0,3725,7,6184,1,1,1,1,4
2019 12 09 23 00,0,1,10371,2,16771,0,1264,7,6433,1,14527,2,19187,0,2316,7,6475,1,1,1,1,4
2019 12 10 00 00,0,1,9864,2,16988,0,1691,7,6291,1,14040,2,19526,0,3063,7,6412,1,1,1,1,4
2019 12 10 01 00,0,1,8104,2,15672,0,1418,7,6792,1,11458,2,17553,0,2435,7,6941,1,1,1,1,4
2019 12 10 02 00,0,1,6164,2,15080,0,1059,7,7128,1,8613,2,16405,0,1747,7,7231,1,1,1,1,4
2019 12 10 03 00,0,1,4525,2,14511,0,660,7,7109,1,6293,2,15402,0,1067,7,7199,1,1,1,1,4
2019 12 10 04 00,0,1,3974,2,14267,0,428,7,7183,1,5480,2,14954,0,670,7,7235,1,1,1,1,4
2019 12 10 05 00,0,1,2779,2,13911,0,396,7,7269,1,3868,2,14346,0,595,7,7271,1,1,1,1,4
2019 12 10 06 00,0,1,2530,2,13842,0,477,7,7394,1,3527,2,14225,0,707,7,7394,1,1,1,1,4
2019 12 10 07 00,0,1,2386,2,13759,0,627,7,7513,1,3364,2,14125,0,929,7,7513,1,1,1,1,4
2019 12 10 08 00,0,1,1090,2,13787,0,601,7,7489,1,1600,2,13971,0,899,7,7489,1,1,1,1,4
2019 12 10 09 00,0,1,2974,2,11689,0,232,7,7206,1,4400,2,11800,0,332,7,7206,1,1,1,1,4
2019 12 10 10 00,6,2,554,1,13776,0,131,7,7124,2,608,4,14374,0,187,7,7124,1,1,1,1,4
2019 12 10 11 00,6,2,1520,1,12584,0,70,7,7073,2,1537,12,14830,0,104,7,7073,1,1,1,1,4
2019 12 10 12 00,6,2,386,1,13650,0,0,7,7018,2,386,13,14229,0,0,7,7018,1,1,1,1,4
2019 12 10 13 00,6,2,128,1,13908,0,0,7,7018,2,128,13,14100,0,0,7,7018,1,1,1,1,4
2019 12 10 14 00,6,2,384,1,13652,0,0,7,7018,2,384,13,14228,0,0,7,7018,1,1,1,1,4
2019 12 10 15 00,6,2,464,1,13572,0,0,7,7018,2,464,13,14268,0,0,7,7018,1,1,1,1,4
2019 12 10 16 00,6,2,28,1,14008,0,0,7,7018,2,28,13,14050,0,0,7,7018,1,1,1,1,4
2019 12 10 17 00,6,2,206,1,13830,0,0,7,7018,2,206,13,14139,0,0,7,7018,1,1,1,1,4
2019 12 10 18 00,6,2,786,1,13250,0,0,7,7018,2,786,13,14429,0,0,7,7018,1,1,1,1,4
2019 12 10 19 00,6,2,966,1,13070,0,0,7,7018,2,966,13,14519,0,0,7,7018,1,1,1,1,4
2019 12 10 20 00,6,2,268,1,13780,0,13,7,7028,2,271,12,14176,0,19,7,7028,1,1,1,1,4
2019 12 10 21 00,6,2,64,1,13972,0,0,7,7018,2,64,13,14068,0,0,7,7018,1,1,1,1,4
2019 12 10 22 00,6,2,176,1,13860,0,0,7,7018,2,176,13,14124,0,0,7,7018,1,1,1,1,4
