,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 11 29 01 00,0,2,15787,4,15895,0,3485,7,9416,4,16375,5,17304,0,5154,7,9518,0,1,0,1,2
2019 11 29 02 00,0,2,15012,1,15893,0,3422,7,9410,2,17840,4,19157,0,5037,7,9414,0,1,0,1,2
2019 11 29 03 00,0,2,16023,4,18462,0,2854,7,8524,4,19316,2,19456,0,4399,7,8524,0,1,0,1,2
2019 11 29 04 00,0,2,17768,4,20210,0,2706,7,7364,2,21939,4,22246,0,4454,7,7364,0,1,0,1,2
2019 11 29 05 00,4,2,15120,4,15658,0,3015,7,8490,4,16718,5,17793,0,4635,7,8490,0,1,0,1,2
2019 11 29 06 00,4,2,14112,4,15635,0,2173,7,7789,4,16705,5,17616,0,3460,7,7789,0,1,0,1,2
2019 11 29 07 00,0,2,15485,4,16035,0,3370,7,9639,4,16167,5,16926,0,4822,7,9639,0,1,0,1,2
2019 11 29 08 00,4,4,13876,5,14604,0,2320,7,8394,4,14416,5,15144,0,3508,7,8398,0,1,0,1,2
2019 11 29 09 00,4,4,13796,3,13935,0,2141,7,7987,4,14624,3,14739,0,3335,7,7987,0,1,0,1,2
2019 11 29 10 00,0,1,13733,2,15187,0,1435,7,7532,2,17619,1,18938,0,2272,7,7536,1,1,0,1,3
2019 11 29 11 00,0,1,9850,2,14346,0,1389,7,7824,1,13633,2,16007,0,2067,7,7824,1,1,1,1,4
2019 11 29 12 00,0,1,11918,2,13952,0,1664,7,8369,2,15793,1,16387,0,2366,7,8369,1,1,0,1,3
2019 11 29 13 00,0,1,10179,2,13484,0,1745,7,8405,1,14115,2,15023,0,2474,7,8405,1,1,1,1,4
2019 11 29 14 00,0,1,10729,2,13904,0,1032,7,7728,1,14767,2,15551,0,1555,7,7728,1,1,1,1,4
2019 11 29 15 00,0,1,10386,2,14952,0,384,7,6839,1,14231,2,16733,0,714,7,6839,1,1,1,1,4
2019 11 29 16 00,0,1,9521,2,14177,0,1023,7,7626,1,13130,2,15715,0,1574,7,7626,1,1,1,1,4
2019 11 29 17 00,0,1,12265,2,14542,0,1170,7,7797,2,16522,1,16786,0,1760,7,7815,1,1,0,1,3
2019 11 29 18 00,0,1,12657,2,12957,0,971,7,7473,2,14791,1,17601,0,1516,7,7473,1,1,0,1,3
2019 11 29 19 00,0,2,10314,1,11355,0,1157,7,7777,2,11561,1,16166,0,1736,7,7777,0,1,0,1,2
2019 11 29 20 00,0,1,7374,2,13769,0,879,7,7505,1,10260,2,14931,0,1377,7,7505,1,1,1,1,4
2019 11 29 21 00,6,2,4120,1,14138,0,888,7,7720,2,4814,4,15380,0,1312,7,7720,1,1,1,1,4
2019 11 29 22 00,6,2,2773,4,14213,0,797,7,7641,2,3422,4,14213,0,1197,7,7641,1,1,1,1,4
2019 11 29 23 00,6,2,544,4,13844,0,533,7,7429,2,728,4,13844,0,817,7,7429,1,1,1,1,4
2019 11 30 00 00,6,2,876,1,13674,0,254,7,7213,2,979,4,14500,0,392,7,7213,1,1,1,1,4
2019 11 30 01 00,6,2,1308,1,13006,0,175,7,7154,2,1367,12,14787,0,265,7,7154,1,1,1,1,4
2019 11 30 02 00,6,2,3374,1,10834,0,141,7,7128,2,3414,12,15797,0,213,7,7128,1,1,1,1,4
2019 11 30 03 00,6,2,2726,1,11510,0,107,7,7100,2,2767,12,15463,0,165,7,7100,1,1,1,1,4
2019 11 30 04 00,6,2,501,1,13642,0,71,7,7073,2,524,12,14325,0,107,7,7073,1,1,1,1,4
2019 11 30 05 00,6,2,2164,1,12176,0,115,7,7109,2,2219,12,15186,0,169,7,7109,1,1,1,1,4
2019 11 30 06 00,6,2,392,4,13808,0,324,7,7277,2,547,4,13808,0,470,7,7277,1,1,1,1,4
2019 11 30 07 00,6,2,321,4,13861,0,235,7,7208,2,445,4,13861,0,337,7,7208,1,1,1,1,4
2019 11 30 08 00,6,2,3902,4,12718,0,61,7,7067,2,5207,4,12718,0,87,7,7067,1,1,1,1,4
2019 11 30 09 00,6,2,9123,4,11119,0,39,7,7047,4,11119,5,11130,0,61,7,7047,1,1,0,1,3
2019 11 30 10 00,4,3,8844,4,9906,0,165,7,7144,3,8889,4,9906,0,255,7,7144,1,1,1,1,4
2019 11 30 11 00,4,3,6017,4,8841,0,544,7,7442,3,6154,4,8841,0,818,7,7442,1,1,1,1,4
2019 11 30 12 00,4,3,360,4,6810,0,1030,7,7832,3,606,4,6810,0,1522,7,7832,1,1,1,1,4
2019 11 30 13 00,4,3,206,4,6812,0,832,7,7670,3,412,4,6812,0,1244,7,7670,1,1,1,1,4
2019 11 30 14 00,4,3,1007,4,7122,0,841,7,7677,3,1216,4,7122,0,1259,7,7677,1,1,1,1,4
2019 11 30 15 00,4,3,1365,4,7185,0,1233,7,7991,3,1662,4,7185,0,1827,7,7991,1,1,1,1,4
2019 11 30 16 00,4,3,836,4,6616,0,2181,7,8742,3,1357,4,6616,0,3223,7,8742,1,1,1,1,4
2019 11 30 17 00,4,3,1250,4,6611,0,3583,7,9776,3,2095,4,6749,0,5204,7,9776,1,1,1,1,4
2019 11 30 18 00,4,3,907,4,6337,0,3715,7,9960,3,1736,4,6403,0,5340,7,9960,1,1,1,1,4
2019 11 30 19 00,4,3,2742,4,9081,0,4750,7,9119,3,4523,4,11003,0,7351,7,9119,1,1,1,1,4
2019 11 30 20 00,40,3,7380,6,9176,7,6895,0,7160,6,9178,3,11489,7,6903,0,12107,0,1,1,1,3
2019 11 30 21 00,40,6,6078,3,10811,7,4984,0,8310,6,6480,3,16491,7,5388,9,12559,1,1,1,1,4
2019 11 30 22 00,40,6,7328,3,9093,7,5389,0,7127,6,7606,3,13898,7,5667,0,12449,1,1,1,1,4
2019 11 30 23 00,40,6,8068,3,8314,7,6281,0,7461,6,8104,3,12844,7,6317,0,12737,1,1,1,1,4
2019 12 01 00 00,40,3,7521,6,9026,7,6901,0,7286,6,9056,3,11685,7,6972,0,12257,0,1,1,1,3
