,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 12 04 01 00,0,1,10560,2,15402,0,307,7,7261,1,14178,2,17137,0,453,7,7261,1,1,1,1,4
2019 12 04 02 00,0,1,10224,2,14576,0,215,7,7188,1,13828,2,16136,0,319,7,7188,1,1,1,1,4
2019 12 04 03 00,6,2,6043,4,14787,0,84,7,7082,2,7366,4,14787,0,132,7,7082,1,1,1,1,4
2019 12 04 04 00,6,2,9352,4,10912,0,16,7,7030,4,10912,5,10917,0,26,7,7030,1,1,0,1,3
2019 12 04 05 00,4,3,1275,4,7439,0,10,7,7025,3,1278,4,7439,0,16,7,7025,1,1,1,1,4
2019 12 04 06 00,4,3,3995,4,8347,0,6,7,7023,3,3997,4,8347,0,10,7,7023,1,1,1,1,4
2019 12 04 07 00,4,3,8601,4,9885,0,0,7,7018,3,8601,4,9885,0,0,7,7018,1,1,1,1,4
2019 12 04 08 00,6,2,4893,4,12405,0,0,7,7018,2,6524,4,12405,0,0,7,7018,1,1,1,1,4
2019 12 04 09 00,6,2,4340,4,12680,0,0,7,7018,2,5764,4,12680,0,0,7,7018,1,1,1,1,4
2019 12 04 10 00,6,2,4197,4,12661,0,0,7,7018,2,5590,4,12661,0,0,7,7018,1,1,1,1,4
2019 12 04 11 00,4,3,7194,4,9416,0,0,7,7018,3,7194,4,9416,0,0,7,7018,1,1,1,1,4
2019 12 04 12 00,4,3,3255,4,8712,0,261,7,6757,3,3516,4,9234,0,522,7,6757,1,1,1,1,4
2019 12 04 13 00,4,3,1152,4,7402,0,0,7,7018,3,1152,4,7402,0,0,7,7018,1,1,1,1,4
2019 12 04 14 00,4,3,2165,4,10220,0,1063,7,5955,3,3228,6,11949,0,2126,7,5955,1,1,1,1,4
