,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 12 28 01 00,6,2,3458,4,12882,0,2452,7,9022,2,4611,4,12882,0,3454,7,9022,1,1,1,1,4
2019 12 28 02 00,6,2,2555,4,12687,0,2185,7,8797,2,3531,4,12687,0,3095,7,8797,1,1,1,1,4
2019 12 28 03 00,6,2,2324,4,13960,0,1766,7,8447,2,2924,4,13960,0,2526,7,8447,1,1,1,1,4
2019 12 28 04 00,6,2,7062,1,9088,0,1784,7,8455,2,7532,1,13554,0,2568,7,8455,1,1,1,1,4
2019 12 28 05 00,6,2,4336,1,13420,0,2168,7,8770,2,5068,4,15444,0,3104,7,8770,1,1,1,1,4
2019 12 28 06 00,6,2,2178,4,12998,0,2219,7,8807,2,2982,4,12998,0,3187,7,8807,1,1,1,1,4
2019 12 28 07 00,6,2,1821,4,13185,0,1921,7,8562,2,2489,4,13185,0,2771,7,8562,1,1,1,1,4
2019 12 28 08 00,6,2,1369,4,13329,0,1619,7,8304,2,1888,4,13329,0,2375,7,8304,1,1,1,1,4
2019 12 28 09 00,6,2,796,4,13400,0,1235,7,8007,2,1154,4,13400,0,1791,7,8007,1,1,1,1,4
2019 12 28 10 00,6,2,392,4,13684,0,736,7,7602,2,578,4,13684,0,1080,7,7602,1,1,1,1,4
2019 12 28 11 00,6,2,1114,1,13072,0,100,7,7095,2,1147,12,14650,0,154,7,7095,1,1,1,1,4
2019 12 28 12 00,6,2,3252,1,10800,0,15,7,7030,2,3256,12,15670,0,23,7,7030,1,1,1,1,4
2019 12 28 13 00,0,1,6480,2,7556,0,0,7,7018,2,7556,1,9720,0,0,7,7018,1,1,0,1,3
2019 12 28 14 00,0,1,3916,2,10120,0,0,7,7018,1,5874,2,10120,0,0,7,7018,1,1,1,1,4
2019 12 28 15 00,6,2,5000,1,9036,0,0,7,7018,2,5000,1,13554,0,0,7,7018,1,1,1,1,4
2019 12 28 16 00,0,1,2742,2,11326,0,26,7,7038,1,4113,2,11334,0,42,7,7038,1,1,1,1,4
2019 12 28 17 00,6,2,4224,1,9928,0,102,7,7095,2,4253,1,14892,0,160,7,7095,1,1,1,1,4
2019 12 28 18 00,6,2,5566,1,8498,0,23,7,7035,2,5573,1,12747,0,37,7,7035,1,1,1,1,4
2019 12 28 19 00,6,2,6200,1,7872,0,30,7,7040,2,6209,1,11808,0,48,7,7040,1,1,1,1,4
2019 12 28 20 00,0,1,3266,2,11047,0,217,7,7181,1,4896,2,11114,0,345,7,7181,1,1,1,1,4
2019 12 28 21 00,0,1,4474,2,10377,0,714,7,7570,1,6702,2,10574,0,1090,7,7570,1,1,1,1,4
2019 12 28 22 00,6,2,6133,1,9906,0,1926,7,8532,2,6621,1,14842,0,2868,7,8532,1,1,1,1,4
2019 12 28 23 00,6,2,2122,4,12562,0,3651,7,9978,2,3021,4,12562,0,5205,7,9978,1,1,1,1,4
2019 12 29 00 00,6,2,8195,1,9660,0,4441,7,10683,2,9110,1,14437,0,6165,7,10683,1,1,1,1,4
2019 12 29 01 00,6,2,7702,1,9760,0,4375,7,10643,2,8548,1,14626,0,6039,7,10643,1,1,1,1,4
2019 12 29 02 00,0,1,9394,2,11191,0,4293,7,10550,2,12490,1,13640,0,5989,7,10550,1,1,0,1,3
2019 12 29 03 00,0,1,7066,2,14239,0,4565,7,10746,1,10096,2,15679,0,6439,7,10746,1,1,1,1,4
2019 12 29 04 00,0,1,10426,2,14935,0,4053,7,10323,1,14500,2,16912,0,5729,7,10323,1,1,1,1,4
2019 12 29 05 00,0,1,14332,2,15425,0,3128,7,9545,2,17961,4,19317,0,4482,7,9545,1,1,0,1,3
2019 12 29 06 00,4,4,14209,5,14810,0,2937,7,9418,4,14209,5,14810,0,4139,7,9418,0,1,0,1,2
2019 12 29 07 00,4,3,9971,4,10978,0,2670,7,9201,3,10516,4,10978,0,3760,7,9201,1,1,1,1,4
2019 12 29 08 00,4,3,7930,4,9049,0,4236,7,10412,3,8882,4,9049,0,6140,7,10412,1,1,1,1,4
2019 12 29 09 00,4,4,12069,5,13176,0,4779,7,10821,4,12069,5,13176,0,6993,7,10821,0,1,0,1,2
2019 12 29 10 00,2,2,13422,4,13866,0,3550,7,9802,4,13866,5,14744,0,5306,7,9802,1,1,0,1,3
2019 12 29 11 00,0,2,14382,1,16654,0,1269,7,8000,2,16952,4,18138,0,1929,7,8000,0,1,0,1,2
2019 12 29 12 00,0,1,7530,2,13127,0,63,7,7065,1,10360,2,14081,0,101,7,7065,1,1,1,1,4
2019 12 29 13 00,0,1,1760,2,13060,0,0,7,7018,1,2528,2,13172,0,0,7,7018,1,1,1,1,4
2019 12 29 14 00,0,1,1706,2,13391,0,3,7,7020,1,2408,2,13543,0,5,7,7020,1,1,1,1,4
2019 12 29 15 00,0,1,2874,2,13478,0,174,7,7151,1,4007,2,13829,0,268,7,7151,1,1,1,1,4
2019 12 29 16 00,0,1,3302,2,13219,0,900,7,7717,1,4730,2,13673,0,1362,7,7717,1,1,1,1,4
