,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 11 05 01 00,4,3,8612,4,11872,0,15856,7,16082,3,14218,4,16374,7,17609,30,18787,1,1,1,0,3
2019 11 05 02 00,4,3,6317,4,7097,0,13006,1,15873,4,8585,3,10085,30,15909,7,16029,1,1,0,0,2
2019 11 05 03 00,4,3,4905,4,6120,0,10540,7,14958,4,6564,3,7631,7,15038,0,15730,1,1,0,0,2
2019 11 05 04 00,4,3,2608,4,5164,0,9147,7,14092,3,4874,4,5326,0,13598,7,14092,1,1,1,1,4
2019 11 05 05 00,4,3,2864,4,5650,0,7063,7,12513,3,4669,4,5650,0,10673,7,12513,1,1,1,1,4
2019 11 05 06 00,4,3,5351,4,7741,0,4661,7,10648,3,6538,4,7741,0,7035,7,10648,1,1,1,1,4
2019 11 05 07 00,4,3,12749,4,13186,0,3306,7,8585,3,14014,4,14326,0,5260,7,8597,1,1,1,1,4
2019 11 05 08 00,4,3,14809,4,15035,0,3042,7,7803,3,16235,4,16829,0,4997,7,7803,1,1,1,1,4
2019 11 05 09 00,4,3,11756,4,14169,0,2575,7,7228,3,13154,4,16201,0,4355,7,7228,1,1,1,1,4
2019 11 05 10 00,4,3,4394,4,11001,0,1560,7,6301,3,5604,4,13169,0,2896,7,6301,1,1,1,1,4
2019 11 05 11 00,4,3,7350,4,11267,0,583,7,6686,3,7832,4,12145,0,1108,7,6686,1,1,1,1,4
2019 11 05 12 00,0,2,14408,1,16557,0,374,7,6756,2,17011,4,20209,0,717,7,6756,0,1,0,1,2
2019 11 05 13 00,2,2,15055,4,18254,0,654,7,6410,2,18553,4,19516,0,1285,7,6430,1,1,1,1,4
2019 11 05 14 00,4,3,11069,4,14966,0,1519,7,5652,3,12534,4,17852,0,2984,7,5696,1,1,1,1,4
2019 11 05 15 00,40,3,15585,4,18819,0,2534,7,5155,3,17862,6,19682,0,4811,7,5365,0,0,0,0,0
2019 11 05 16 00,4,2,16802,4,17949,0,1607,7,5798,3,19469,4,20771,0,3072,7,5905,0,1,1,1,3
2019 11 05 17 00,4,3,16197,2,16325,0,1423,7,5897,3,17469,4,19205,0,2695,7,6025,1,1,1,1,4
2019 11 05 18 00,4,3,11455,4,14556,0,1575,7,5829,3,12839,4,17316,0,2963,7,5983,1,1,1,1,4
2019 11 05 19 00,4,3,13256,4,16144,0,1985,7,5535,3,15018,4,19612,0,3747,7,5721,1,1,1,1,4
2019 11 05 20 00,4,3,10967,4,14011,0,1946,7,6121,3,12516,4,16803,0,3558,7,6301,1,1,1,1,4
2019 11 05 21 00,4,3,9980,4,14038,0,1914,7,5729,3,11646,4,17190,0,3640,7,5805,1,1,1,1,4
2019 11 05 22 00,4,3,6982,6,12200,0,2374,7,4963,3,9231,6,12248,0,4641,7,5023,1,1,1,1,4
2019 11 05 23 00,4,3,4609,6,10638,0,3123,7,5816,3,6906,6,10642,0,5657,7,5820,1,1,1,1,4
2019 11 06 00 00,40,3,17454,4,18338,0,3070,7,6337,3,19502,4,21834,0,5407,7,6359,0,0,0,0,0
2019 11 06 01 00,40,3,16055,4,18856,0,3033,7,5505,3,18435,6,19912,7,5515,0,5596,0,0,0,1,1
2019 11 06 02 00,4,3,15524,4,16859,0,2489,7,6563,3,17172,4,19597,0,4374,7,6672,1,1,1,1,4
2019 11 06 03 00,4,3,16617,4,16770,0,2341,7,6969,3,17969,4,18912,0,3973,7,6979,1,1,1,1,4
2019 11 06 04 00,0,2,18018,1,20506,0,2061,7,6575,2,22267,4,23322,0,3611,7,6651,0,1,0,1,2
2019 11 06 05 00,0,2,16821,4,18155,0,2406,7,7940,4,19271,5,20245,0,3796,7,7944,0,1,0,1,2
2019 11 06 06 00,0,2,15999,1,16945,0,2734,7,8024,2,19275,4,21558,0,4319,7,8032,0,1,0,1,2
2019 11 06 07 00,0,1,14240,2,15039,0,2880,7,8607,2,17681,1,19869,0,4374,7,8615,1,1,0,1,3
2019 11 06 08 00,0,1,12363,2,15162,0,2872,7,8736,1,17244,2,17518,0,4329,7,8736,1,1,1,1,4
2019 11 06 09 00,0,1,11939,2,14993,0,2372,7,8565,1,16522,2,17151,0,3497,7,8565,1,1,1,1,4
2019 11 06 10 00,0,1,11043,2,14478,0,2691,7,8983,1,15341,2,16415,0,3852,7,8983,1,1,1,1,4
2019 11 06 11 00,0,1,9875,2,14410,0,2601,7,8789,1,13808,2,16194,0,3762,7,8789,1,1,1,1,4
2019 11 06 12 00,0,1,9838,2,14796,0,2507,7,8546,1,13763,2,16663,0,3661,7,8546,1,1,1,1,4
2019 11 06 13 00,0,1,9180,2,14590,0,1714,7,8047,1,12750,2,16234,0,2570,7,8047,1,1,1,1,4
2019 11 06 14 00,0,1,7723,2,14822,0,1301,7,7474,1,10797,2,16318,0,2068,7,7474,1,1,1,1,4
2019 11 06 15 00,0,1,7083,2,14981,0,835,7,6920,1,9926,2,16411,0,1448,7,6920,1,1,1,1,4
2019 11 06 16 00,0,1,12835,2,13951,0,1198,7,6385,2,16304,1,18261,0,2215,7,6441,1,1,0,1,3
2019 11 06 17 00,6,2,9973,1,17054,0,1367,7,6578,2,12361,12,18966,0,2448,7,6660,1,1,1,1,4
2019 11 06 18 00,4,2,14943,4,15925,0,1969,7,7246,4,17457,3,18389,0,3253,7,7330,0,1,0,1,2
2019 11 06 19 00,4,4,17139,3,17403,0,1659,7,6609,3,18555,4,19083,0,2955,7,6681,0,1,1,1,3
2019 11 06 20 00,4,4,16839,2,17319,0,2005,7,7476,4,18127,5,19070,0,3298,7,7578,0,1,0,1,2
