,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 12 22 01 00,4,3,11507,6,15689,0,9175,7,9733,3,16370,6,18533,7,12779,0,14249,1,1,1,0,3
2019 12 22 02 00,40,6,15526,3,19715,7,4300,0,6246,6,16444,12,23251,7,5350,0,11194,1,1,1,1,4
2019 12 22 03 00,40,6,19028,3,19045,0,7953,7,8055,6,20793,3,23688,7,10799,0,12596,1,0,1,1,3
2019 12 22 04 00,40,6,14991,3,21761,7,7303,0,10566,6,16830,14,24651,7,10718,13,11325,1,1,1,1,4
2019 12 22 05 00,40,6,18300,3,21209,7,6509,0,7359,6,19228,12,25043,7,8678,13,11958,1,1,1,1,4
2019 12 22 06 00,40,6,16501,3,23060,7,8840,9,12034,6,19052,14,24624,7,12924,13,12990,1,1,1,1,4
2019 12 22 07 00,40,6,21401,12,21510,7,7636,0,9723,12,21662,6,23782,7,10726,13,13182,1,1,0,1,3
2019 12 22 08 00,0,12,21197,2,22844,7,7614,0,8432,12,21414,13,25567,7,10288,0,13564,0,0,0,0,0
2019 12 22 09 00,0,1,21005,12,21525,0,7185,7,7728,12,21547,13,24841,7,10002,0,11501,1,1,0,0,2
2019 12 22 10 00,0,1,19432,2,20763,0,5667,7,6739,12,21221,13,24216,7,8286,0,9414,1,1,0,0,2
2019 12 22 11 00,0,6,24254,12,24920,0,5672,7,5679,6,24743,12,24932,7,7125,0,9626,0,1,0,0,1
2019 12 22 12 00,40,6,18508,12,22282,7,6339,0,8228,6,20366,12,22285,7,8612,9,12563,1,1,1,1,4
2019 12 22 13 00,40,6,11676,3,19087,7,7649,9,10452,6,13888,8,22608,13,11292,7,11493,1,1,1,0,3
2019 12 22 14 00,40,6,10103,3,18713,7,4525,0,8990,6,11485,7,22220,7,6545,13,10648,1,1,1,1,4
2019 12 22 15 00,40,6,13872,3,14958,7,6053,0,6545,6,15015,3,19473,7,7723,0,11063,1,1,1,1,4
2019 12 22 16 00,40,6,7481,3,12173,7,6635,0,9565,6,9149,7,18005,7,9425,13,11794,1,1,1,1,4
2019 12 22 17 00,40,6,8240,3,14028,7,7395,9,10798,6,10833,7,20373,7,10982,13,11990,1,1,1,1,4
2019 12 22 18 00,40,6,4921,3,13253,7,5847,9,9230,6,5989,8,15997,7,8852,13,9489,1,1,1,1,4
2019 12 22 19 00,40,6,11184,3,18110,7,8391,9,11708,6,15538,12,19048,7,12745,20,12950,1,1,1,1,4
2019 12 22 20 00,40,6,13281,3,15184,7,4405,0,5149,6,13819,3,19338,7,5219,0,9303,1,1,1,1,4
2019 12 22 21 00,40,6,10387,3,14655,7,5690,0,7917,6,11473,3,20008,7,7775,13,11381,1,1,1,1,4
2019 12 22 22 00,40,6,9361,8,16005,7,10782,9,11005,6,13156,8,18306,13,12337,20,13161,1,1,1,0,3
2019 12 22 23 00,40,6,9871,3,16974,7,5473,0,9761,6,11979,7,22251,7,7896,9,11811,1,1,1,1,4
2019 12 23 00 00,40,12,23309,2,23632,7,4723,0,4872,12,23309,6,25302,7,5511,0,8774,0,1,0,1,2
2019 12 23 01 00,0,1,22192,2,23273,0,3858,7,4461,12,23847,13,27070,7,4803,0,7221,1,1,0,0,2
