,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 12 02 01 00,0,1,7158,2,13484,0,7911,7,13481,1,10719,2,15122,0,11151,7,13481,1,1,1,1,4
2019 12 02 02 00,0,1,5820,2,13934,0,6570,7,12361,1,8700,2,15341,0,9324,7,12361,1,1,1,1,4
2019 12 02 03 00,0,1,5276,2,13577,0,5137,7,11161,1,7867,2,14746,0,7381,7,11161,1,1,1,1,4
2019 12 02 04 00,0,1,5308,2,13832,0,5255,7,11254,1,7890,2,15054,0,7555,7,11254,1,1,1,1,4
2019 12 02 05 00,0,1,4686,2,13851,0,4865,7,10946,1,6990,2,14947,0,6979,7,10946,1,1,1,1,4
2019 12 02 06 00,0,1,4168,2,13861,0,4278,7,10455,1,6225,2,14839,0,6180,7,10455,1,1,1,1,4
2019 12 02 07 00,0,1,4282,2,13903,0,4177,7,10358,1,6372,2,14902,0,6073,7,10358,1,1,1,1,4
2019 12 02 08 00,0,1,4660,2,13831,0,4286,7,10447,1,6909,2,14884,0,6230,7,10447,1,1,1,1,4
2019 12 02 09 00,0,1,4434,2,13849,0,3958,7,10205,1,6542,2,14829,0,5700,7,10205,1,1,1,1,4
2019 12 02 10 00,0,1,3021,2,13842,0,2877,7,9335,1,4487,2,14515,0,4128,7,9335,1,1,1,1,4
2019 12 02 11 00,0,1,2088,2,13700,0,1496,7,8219,1,3072,2,14093,0,2162,7,8219,1,1,1,1,4
2019 12 02 12 00,0,1,1394,2,13793,0,996,7,7823,1,2050,2,14050,0,1428,7,7823,1,1,1,1,4
2019 12 02 13 00,0,1,1690,2,13846,0,732,7,7615,1,2407,2,14125,0,1034,7,7615,1,1,1,1,4
2019 12 02 14 00,0,1,1972,2,13811,0,651,7,7544,1,2789,2,14121,0,933,7,7544,1,1,1,1,4
2019 12 02 15 00,0,1,2338,2,13814,0,648,7,7533,1,3291,2,14181,0,950,7,7533,1,1,1,1,4
2019 12 02 16 00,0,1,3184,2,14083,0,1162,7,7944,1,4467,2,14659,0,1696,7,7944,1,1,1,1,4
2019 12 02 17 00,0,1,3130,2,13934,0,1816,7,8490,1,4483,2,14532,0,2588,7,8490,1,1,1,1,4
2019 12 02 18 00,0,1,2888,2,13929,0,2224,7,8832,1,4197,2,14523,0,3142,7,8832,1,1,1,1,4
2019 12 02 19 00,0,1,1991,2,13930,0,1868,7,8536,1,2941,2,14367,0,2649,7,8536,1,1,1,1,4
2019 12 02 20 00,0,1,1631,2,14005,0,1187,7,7955,1,2375,2,14350,0,1712,7,7955,1,1,1,1,4
2019 12 02 21 00,0,1,2217,2,14103,0,1383,7,8062,1,3201,2,14575,0,1988,7,8062,1,1,1,1,4
2019 12 02 22 00,0,1,2217,2,14053,0,1770,7,8420,1,3233,2,14539,0,2507,7,8420,1,1,1,1,4
2019 12 02 23 00,0,1,2362,2,13949,0,1945,7,8612,1,3442,2,14442,0,2730,7,8612,1,1,1,1,4
2019 12 03 00 00,0,1,2671,2,13987,0,2126,7,8719,1,3898,2,14559,0,3019,7,8719,1,1,1,1,4
2019 12 03 01 00,0,1,2522,2,13944,0,2035,7,8671,1,3679,2,14473,0,2877,7,8671,1,1,1,1,4
2019 12 03 02 00,0,1,2016,2,13919,0,1957,7,8614,1,2983,2,14363,0,2763,7,8614,1,1,1,1,4
2019 12 03 03 00,0,1,1706,2,13924,0,1401,7,8132,1,2517,2,14291,0,2051,7,8132,1,1,1,1,4
2019 12 03 04 00,0,1,1578,2,13952,0,1406,7,8140,1,2337,2,14303,0,2048,7,8140,1,1,1,1,4
2019 12 03 05 00,0,1,1500,2,13944,0,1337,7,8081,1,2226,2,14278,0,1957,7,8081,1,1,1,1,4
2019 12 03 06 00,0,1,1486,2,13962,0,1393,7,8124,1,2213,2,14303,0,2043,7,8124,1,1,1,1,4
2019 12 03 07 00,0,1,4818,2,14238,0,1246,7,8005,1,6679,2,15082,0,1838,7,8005,1,1,1,1,4
2019 12 03 08 00,0,2,16572,4,16916,0,881,7,7708,4,16916,5,17135,0,1319,7,7708,0,1,0,1,2
2019 12 03 09 00,4,4,14429,5,14497,0,239,7,7198,4,14429,5,14497,0,375,7,7198,0,1,0,1,2
2019 12 03 10 00,4,3,13728,4,13753,0,153,7,6865,3,13881,4,14059,0,306,7,6865,1,1,1,1,4
2019 12 03 11 00,0,2,15844,1,18710,0,306,7,6712,2,18950,4,19598,0,612,7,6712,0,1,0,1,2
2019 12 03 12 00,0,1,14067,2,15898,0,153,7,6865,2,18261,1,18967,0,306,7,6865,1,1,0,1,3
2019 12 03 13 00,0,1,12806,2,15628,0,338,7,6680,1,17466,2,17878,0,676,7,6680,1,1,1,1,4
2019 12 03 14 00,0,1,5902,2,14140,0,0,7,7018,1,7995,2,14998,0,0,7,7018,1,1,1,1,4
2019 12 03 15 00,0,1,7534,2,14020,0,0,7,7018,1,10227,2,15094,0,0,7,7018,1,1,1,1,4
2019 12 03 16 00,0,1,5256,2,13456,0,0,7,7018,1,7216,2,14124,0,0,7,7018,1,1,1,1,4
2019 12 03 17 00,0,1,3516,2,14090,0,0,7,7018,1,4764,2,14600,0,0,7,7018,1,1,1,1,4
2019 12 03 18 00,0,1,6634,2,14745,0,0,7,7018,1,8902,2,15794,0,0,7,7018,1,1,1,1,4
2019 12 03 19 00,0,1,2348,2,14313,0,0,7,7018,1,3147,2,14688,0,0,7,7018,1,1,1,1,4
2019 12 03 20 00,0,1,46,2,14021,0,24,7,7037,1,68,2,14028,0,36,7,7037,1,1,1,1,4
2019 12 03 21 00,0,1,64,2,14036,0,58,7,7062,1,96,2,14052,0,90,7,7062,1,1,1,1,4
2019 12 03 22 00,0,1,642,2,13466,0,69,7,7071,1,963,2,13484,0,105,7,7071,1,1,1,1,4
2019 12 03 23 00,0,1,2878,2,11214,0,53,7,7059,1,4317,2,11228,0,81,7,7059,1,1,1,1,4
2019 12 04 00 00,6,2,5108,1,9580,0,6,7,7023,2,5202,1,14278,0,10,7,7023,1,1,1,1,4
