,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 11 03 01 00,40,6,8728,3,16807,7,9490,9,14282,6,10674,7,21370,7,13385,13,15206,1,1,1,1,4
2019 11 03 02 00,4,3,10284,6,12390,7,9372,0,9493,6,13493,3,15611,7,11374,0,15448,1,0,0,0,1
2019 11 03 03 00,4,3,9422,6,10696,7,7147,0,7176,6,11261,3,14194,7,8497,0,12267,1,0,0,0,1
2019 11 03 04 00,40,6,8112,3,15044,7,7266,0,11810,6,9756,7,20614,7,10472,13,13281,1,1,1,1,4
2019 11 03 05 00,40,6,8481,3,17187,7,7504,9,12876,6,10901,7,23073,7,10986,13,14106,1,1,1,1,4
2019 11 03 06 00,40,6,9576,3,19335,7,10558,9,13159,6,12794,7,24874,13,14519,9,15310,1,1,1,0,3
2019 11 03 07 00,40,6,10533,3,17785,7,11516,9,15286,6,12734,7,23666,7,16023,13,16559,1,1,1,1,4
2019 11 03 08 00,40,6,19126,3,20182,7,17221,9,19205,6,23415,3,29309,13,21286,20,21573,1,1,1,0,3
2019 11 03 09 00,40,6,18246,3,18348,7,12734,0,14815,6,21262,3,25961,7,16856,13,19670,1,1,1,1,4
2019 11 03 10 00,40,6,19669,8,22798,13,22857,9,22868,14,25659,6,27444,27,24789,21,25462,1,0,0,0,1
2019 11 03 11 00,40,16,24060,8,24781,18,20792,18,20792,16,24545,17,26295,21,23176,19,23319,0,0,0,0,0
2019 11 03 12 00,4,3,12120,4,22130,0,15050,7,17646,3,18273,6,26750,0,21868,7,22985,1,1,1,1,4
2019 11 03 13 00,4,3,4704,4,15276,0,4421,7,9436,3,7233,6,17054,0,7305,7,9947,1,1,1,1,4
2019 11 03 14 00,40,6,10728,3,14283,7,7520,0,10799,6,12567,3,21562,7,9534,13,16429,1,1,1,1,4
2019 11 03 15 00,40,6,10892,3,21040,7,11221,9,12758,6,15175,7,26338,13,14741,9,15594,1,1,1,0,3
2019 11 03 16 00,40,6,14926,3,17585,7,11288,0,14142,6,17857,7,24643,7,15930,13,16533,1,1,1,1,4
2019 11 03 17 00,4,3,22930,6,28337,0,9182,7,11354,3,27427,6,30491,0,14095,7,14198,1,1,1,1,4
2019 11 03 18 00,4,3,6139,4,14778,0,5477,7,11692,3,8515,4,17430,0,8255,7,12848,1,1,1,1,4
2019 11 03 19 00,40,3,11440,6,12650,7,7390,0,8127,6,14066,3,17177,7,8753,0,14007,0,1,1,1,3
2019 11 03 20 00,40,6,11067,3,16274,7,7498,0,12038,6,13520,7,23848,7,9874,13,16196,1,1,1,1,4
2019 11 03 21 00,40,6,5593,3,17686,7,5034,9,11815,6,7054,7,19716,7,7264,13,12480,1,1,1,1,4
2019 11 03 22 00,40,6,5652,3,16468,7,4282,0,11016,6,6891,7,18431,7,5881,13,12442,1,1,1,1,4
2019 11 03 23 00,40,6,11120,3,17961,7,5761,0,10379,6,12487,7,22644,7,7257,13,14320,1,1,1,1,4
2019 11 04 00 00,40,3,21496,6,23397,0,8243,7,8560,6,24374,3,26560,7,9486,0,13765,0,0,1,1,2
2019 11 04 01 00,4,3,12113,4,15570,0,9130,7,15073,3,15062,4,17812,0,13278,7,16359,1,1,1,1,4
2019 11 04 02 00,4,3,4468,4,12808,0,6699,7,12177,3,6988,4,15658,0,10242,7,12315,1,1,1,1,4
2019 11 04 03 00,40,6,10812,3,13189,7,8154,0,10880,6,11963,3,20098,7,9367,9,17659,1,1,1,1,4
2019 11 04 04 00,40,6,5205,3,18629,7,4787,9,11571,6,6792,7,20924,7,7117,13,12384,1,1,1,1,4
2019 11 04 05 00,40,6,4248,3,18272,7,3148,9,11174,6,5525,7,18834,7,4641,13,11641,1,1,1,1,4
2019 11 04 06 00,40,3,20707,6,25395,0,7937,7,9642,3,25190,6,26307,7,10552,0,13015,0,0,0,1,1
2019 11 04 07 00,4,4,19043,5,19690,0,4853,7,12703,4,19699,5,20346,0,6956,7,13072,0,1,0,1,2
2019 11 04 08 00,4,3,2807,4,9989,0,4459,7,12484,3,3971,4,10501,0,6415,7,12716,1,1,1,1,4
2019 11 04 09 00,40,6,13099,3,20014,7,10037,9,15617,6,17516,7,29472,7,14408,9,17873,1,1,1,1,4
2019 11 04 10 00,40,6,10285,3,17472,7,10988,9,13305,6,13165,7,23805,13,14520,9,15223,1,1,1,0,3
2019 11 04 11 00,40,6,7931,3,21433,7,10159,9,11396,6,11562,7,25243,13,13143,9,13591,1,1,1,0,3
2019 11 04 12 00,40,6,14551,3,19100,7,9047,0,12080,6,16311,7,25121,7,12507,13,15123,1,1,1,1,4
2019 11 04 13 00,4,3,15838,6,19005,0,12909,7,13186,6,21831,3,21947,7,17673,13,19012,1,1,0,0,2
2019 11 04 14 00,4,3,16309,6,23149,0,8285,7,11277,3,20145,6,24478,0,12616,7,13828,1,1,1,1,4
2019 11 04 15 00,4,3,7209,6,14965,0,6544,7,9585,3,10717,6,15938,0,10521,7,11093,1,1,1,1,4
2019 11 04 16 00,4,3,17892,6,18143,7,12587,0,14417,6,22094,3,25301,7,17720,13,18400,1,0,0,0,1
2019 11 04 17 00,4,3,13858,6,17086,7,14280,0,14695,3,20761,6,20931,7,19802,13,19854,1,0,1,0,2
2019 11 04 18 00,4,3,13897,6,18081,7,14243,0,14453,3,20913,6,22270,7,19341,20,20762,1,0,1,0,2
2019 11 04 19 00,4,6,19460,3,22555,13,19096,9,19097,6,25846,14,26283,20,21454,27,21871,0,0,0,0,0
2019 11 04 20 00,4,6,14432,3,16951,7,15882,9,16596,6,18034,7,24110,13,17982,9,19814,0,0,0,0,0
2019 11 04 21 00,4,6,12990,3,13750,7,12013,0,14072,6,15435,3,20722,7,16497,13,16790,0,0,0,0,0
2019 11 04 22 00,4,3,11348,6,14309,7,11549,0,11630,6,16390,3,17046,7,14766,0,18152,1,0,0,0,1
2019 11 04 23 00,4,3,8889,6,18754,0,6833,7,10219,3,12466,6,19997,0,10896,7,11468,1,1,1,1,4
2019 11 05 00 00,4,3,5370,4,14763,0,6610,7,11774,3,8163,4,18230,0,10257,7,12829,1,1,1,1,4
