,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 11 26 01 00,6,2,3458,4,12430,0,4552,7,10711,2,4724,4,12430,0,6480,7,10711,1,1,1,1,4
2019 11 26 02 00,6,2,2583,4,11947,0,4282,7,10482,2,3751,4,11947,0,6124,7,10482,1,1,1,1,4
2019 11 26 03 00,6,2,2084,4,12308,0,3704,7,10012,2,3037,4,12308,0,5306,7,10012,1,1,1,1,4
2019 11 26 04 00,6,2,3328,4,12156,0,2706,7,9211,2,4630,4,12156,0,3862,7,9211,1,1,1,1,4
2019 11 26 05 00,6,2,6679,4,11243,0,2021,7,8659,2,9047,4,11243,0,2875,7,8659,1,1,1,1,4
2019 11 26 06 00,6,2,2384,4,12808,0,1439,7,8170,2,3287,4,12808,0,2089,7,8170,1,1,1,1,4
2019 11 26 07 00,6,2,777,4,13409,0,1252,7,8026,2,1128,4,13409,0,1804,7,8026,1,1,1,1,4
2019 11 26 08 00,6,2,2082,4,13618,0,2388,7,8955,2,2707,4,13618,0,3402,7,8955,1,1,1,1,4
2019 11 26 09 00,6,2,6616,4,12988,0,2512,7,9074,2,8532,4,12988,0,3532,7,9074,1,1,1,1,4
2019 11 26 10 00,6,2,3754,1,14158,0,2505,7,9070,2,4525,4,14706,0,3519,7,9070,1,1,1,1,4
2019 11 26 11 00,6,2,4877,4,13557,0,2384,7,8916,2,6216,4,13557,0,3484,7,8916,1,1,1,1,4
2019 11 26 12 00,0,2,7932,1,8188,0,1578,7,8231,2,8411,1,12226,0,2424,7,8231,0,1,0,1,2
2019 11 26 13 00,6,2,4694,1,9990,0,616,7,7494,2,4856,1,14985,0,940,7,7494,1,1,1,1,4
2019 11 26 14 00,6,2,281,4,13893,0,380,7,7317,2,387,4,13893,0,566,7,7317,1,1,1,1,4
2019 11 26 15 00,6,2,170,4,13902,0,209,7,7178,2,246,4,13902,0,325,7,7178,1,1,1,1,4
2019 11 26 16 00,6,2,971,4,13559,0,421,7,7340,2,1333,4,13559,0,651,7,7340,1,1,1,1,4
2019 11 26 17 00,6,2,3946,4,11626,0,3103,7,9411,2,5535,4,11626,0,4745,7,9411,1,1,1,1,4
2019 11 26 18 00,0,2,11381,4,12485,0,9182,7,14222,4,12485,2,14614,0,13718,7,14222,0,1,0,1,2
2019 11 26 19 00,4,4,5974,5,9279,0,14215,1,15582,4,5974,5,9279,30,15612,1,17601,0,1,0,0,1
2019 11 26 20 00,4,4,5060,3,7514,0,14374,1,15338,4,5060,5,8425,30,15369,1,17330,0,1,0,0,1
2019 11 26 21 00,4,3,5873,4,6254,0,8895,7,14019,4,6254,3,8041,0,13231,7,14019,1,1,0,1,3
2019 11 26 22 00,4,3,4995,4,6083,0,12678,7,16087,4,7131,3,8446,7,16087,30,16171,1,1,0,0,2
2019 11 26 23 00,4,3,6357,4,7541,1,15552,30,15575,4,10293,3,11338,30,15575,7,18450,1,0,0,0,1
2019 11 27 00 00,33,4,7992,3,8162,1,15065,30,15079,4,11278,3,14374,30,15079,1,21161,1,0,1,0,2
2019 11 27 01 00,40,3,14106,6,17144,7,16301,9,18977,6,20576,3,22222,7,19733,20,19935,0,1,1,1,3
2019 11 27 02 00,40,6,13357,3,15850,7,13137,9,15066,6,17321,12,21897,20,16330,13,17066,1,1,1,0,3
2019 11 27 03 00,40,6,11708,3,16185,7,10665,9,13372,6,15269,12,21958,7,14569,20,14889,1,1,1,1,4
2019 11 27 04 00,40,6,3616,3,13990,7,3050,0,8914,6,4682,7,17061,7,4266,9,10208,1,1,1,1,4
2019 11 27 05 00,40,6,4191,3,13587,7,1993,0,6911,6,4511,7,16307,7,2313,9,9987,1,1,1,1,4
2019 11 27 06 00,0,2,17738,1,20270,0,3420,7,6874,2,22243,12,22835,0,5897,7,7224,0,1,0,1,2
2019 11 27 07 00,0,2,9967,1,12833,0,3680,7,9503,2,11745,4,18074,0,5853,7,9503,0,1,0,1,2
2019 11 27 08 00,6,2,2619,4,12183,0,2667,7,9048,2,3737,4,12183,0,4149,7,9048,1,1,1,1,4
2019 11 27 09 00,6,2,3776,4,13152,0,936,7,7742,2,4941,4,13152,0,1426,7,7742,1,1,1,1,4
2019 11 27 10 00,6,2,11787,4,16314,0,520,7,7160,2,14348,4,16608,0,861,7,7160,1,1,1,1,4
2019 11 27 11 00,0,1,14235,2,15277,0,894,7,6348,2,17937,1,19852,0,1713,7,6384,1,1,0,1,3
2019 11 27 12 00,0,1,12782,2,14659,0,289,7,6769,2,16729,1,17509,0,569,7,6769,1,1,0,1,3
2019 11 27 13 00,0,2,15255,1,16104,0,10,7,7025,2,17731,4,19387,0,16,7,7025,0,1,0,1,2
2019 11 27 14 00,4,4,12931,5,12974,0,73,7,7019,4,12993,5,13036,0,128,7,7019,0,1,0,1,2
2019 11 27 15 00,4,3,6694,4,9371,0,109,7,7014,3,6759,4,9471,0,189,7,7014,1,1,1,1,4
2019 11 27 16 00,4,3,8079,4,10664,0,463,7,6662,3,8502,4,11478,0,892,7,6682,1,1,1,1,4
