,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 12 07 01 00,0,1,10980,2,13947,0,7907,7,13563,1,15777,2,16150,0,10927,7,13563,1,1,1,1,4
2019 12 07 02 00,0,1,8668,2,13061,0,8102,7,13719,1,12791,2,14826,0,11210,7,13719,1,1,1,1,4
2019 12 07 03 00,0,2,10385,1,10486,0,7995,7,13642,2,12012,1,15620,0,11031,7,13642,0,1,0,1,2
2019 12 07 04 00,0,2,9446,1,11214,0,8014,7,13641,2,11054,1,16757,0,11102,7,13641,0,1,0,1,2
2019 12 07 05 00,6,2,7954,1,11838,0,7338,7,13090,2,9378,4,16294,0,10146,7,13090,1,1,1,1,4
2019 12 07 06 00,6,2,4091,4,12943,0,6219,7,12155,2,5387,4,12943,0,8621,7,12155,1,1,1,1,4
2019 12 07 07 00,6,2,5329,1,14462,0,4601,7,10790,2,6548,4,14489,0,6453,7,10790,1,1,1,1,4
2019 12 07 08 00,6,2,8337,4,12977,0,3537,7,9917,2,10686,4,12977,0,4961,7,9917,1,1,1,1,4
2019 12 07 09 00,6,2,4655,4,13015,0,3215,7,9635,2,6074,4,13015,0,4555,7,9635,1,1,1,1,4
2019 12 07 10 00,6,2,3903,4,14071,0,2698,7,9172,2,4870,4,14071,0,3934,7,9172,1,1,1,1,4
2019 12 07 11 00,6,2,4605,1,13212,0,1486,7,8195,2,5296,4,15877,0,2190,7,8195,1,1,1,1,4
2019 12 07 12 00,6,2,4149,4,14789,0,998,7,7801,2,4998,4,14789,0,1490,7,7801,1,1,1,1,4
2019 12 07 13 00,6,2,4371,1,14566,0,1089,7,7872,2,5186,4,15147,0,1625,7,7872,1,1,1,1,4
2019 12 07 14 00,6,2,7782,1,12350,0,1237,7,7988,2,8784,4,17810,0,1849,7,7988,1,1,1,1,4
2019 12 07 15 00,0,2,8872,1,10824,0,1489,7,8187,2,9837,1,15636,0,2219,7,8187,0,1,0,1,2
2019 12 07 16 00,0,2,9453,1,10458,0,2960,7,9392,2,10576,1,15226,0,4284,7,9392,0,1,0,1,2
2019 12 07 17 00,0,1,8052,2,13133,0,4669,7,10805,1,11623,2,14579,0,6651,7,10805,1,1,1,1,4
2019 12 07 18 00,0,1,9810,2,12811,0,6335,7,12201,1,14224,2,14589,0,8909,7,12201,1,1,1,1,4
2019 12 07 19 00,0,1,9008,2,12859,0,7241,7,12936,1,13234,2,14607,0,10161,7,12936,1,1,1,1,4
2019 12 07 20 00,0,1,10085,2,14460,0,7187,7,12702,1,14545,2,16636,0,10144,7,12702,1,1,1,1,4
2019 12 07 21 00,0,1,9781,2,14081,0,8109,7,13644,1,14211,2,16191,0,11390,7,13644,1,1,1,1,4
2019 12 07 22 00,0,1,8862,2,13993,0,7390,7,13064,1,12892,2,15897,0,10396,7,13064,1,1,1,1,4
2019 12 07 23 00,0,1,10215,2,14382,0,6701,7,12471,1,14609,2,16486,0,9464,7,12471,1,1,1,1,4
2019 12 08 00 00,0,1,8341,2,14037,0,6825,7,12576,1,12130,2,15836,0,9654,7,12576,1,1,1,1,4
2019 12 08 01 00,0,1,9676,2,13895,0,7925,7,13426,1,14122,2,15983,0,11289,7,13426,1,1,1,1,4
2019 12 08 02 00,0,1,8907,2,13873,0,8155,7,13631,1,13102,2,15865,0,11620,7,13631,1,1,1,1,4
2019 12 08 03 00,0,1,8325,2,13783,0,7895,7,13388,1,12316,2,15672,0,11324,7,13388,1,1,1,1,4
2019 12 08 04 00,0,1,7684,2,13958,0,7281,7,12873,1,11360,2,15735,0,10503,7,12873,1,1,1,1,4
2019 12 08 05 00,0,1,8566,2,13881,0,7761,7,13265,1,12624,2,15815,0,11179,7,13265,1,1,1,1,4
2019 12 08 06 00,0,1,9012,2,13887,0,8503,7,13945,1,13261,2,15910,0,12035,7,13945,1,1,1,1,4
2019 12 08 07 00,0,2,11609,1,11802,0,8527,7,13983,2,13697,4,17293,0,12021,7,13983,0,1,0,1,2
2019 12 08 08 00,6,2,9181,4,14017,0,8476,7,13944,2,11481,4,14017,0,11946,7,13944,1,1,1,1,4
2019 12 08 09 00,6,2,8933,4,12373,0,8725,7,14139,2,11582,4,12373,0,12317,7,14139,1,1,1,1,4
2019 12 08 10 00,6,2,6560,4,10516,0,7878,7,13419,2,9080,4,10516,0,11194,7,13419,1,1,1,1,4
2019 12 08 11 00,6,2,6854,4,10346,0,6854,7,12596,2,9490,4,10346,0,9718,7,12596,1,1,1,1,4
2019 12 08 12 00,6,2,6016,4,13364,0,4169,7,10344,2,7688,4,13364,0,6081,7,10344,1,1,1,1,4
2019 12 08 13 00,6,2,3595,4,13743,0,441,7,7352,2,4567,4,13743,0,691,7,7352,1,1,1,1,4
2019 12 08 14 00,6,2,8199,4,11303,0,0,7,7018,2,10932,4,11303,0,0,7,7018,1,1,1,1,4
2019 12 08 15 00,4,3,3862,4,10238,0,840,7,6195,3,4695,4,11898,0,1676,7,6195,1,1,1,1,4
2019 12 08 16 00,40,6,6224,3,8820,7,3384,0,4848,6,6556,3,13232,7,3728,0,9264,1,1,1,1,4
2019 12 08 17 00,40,6,3424,3,13888,7,3067,0,8832,6,4512,7,16768,7,4598,9,9604,1,1,1,1,4
2019 12 08 18 00,40,6,1526,8,14355,7,4308,9,6250,6,2281,8,14873,13,6629,9,6746,1,1,1,0,3
2019 12 08 19 00,40,6,8124,3,16383,7,8618,9,9210,6,11589,12,21202,9,10949,13,11006,1,1,1,0,3
2019 12 08 20 00,4,3,7321,6,12802,0,8929,7,9690,3,11540,6,13714,7,10603,0,14265,1,1,1,0,3
2019 12 08 21 00,4,3,2121,4,7226,0,6166,7,11222,3,3752,4,8140,0,8971,7,11222,1,1,1,1,4
2019 12 08 22 00,4,3,6539,4,10444,0,2900,7,7895,3,7835,4,12050,0,4671,7,7933,1,1,1,1,4
2019 12 08 23 00,6,2,9748,4,14319,0,1544,7,6444,2,13373,4,16333,0,2810,7,6482,1,1,1,1,4
2019 12 09 00 00,6,2,11369,3,13449,0,1515,7,6533,3,14524,4,15400,0,2724,7,6533,1,1,0,1,3
