,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 11 01 01 00,40,3,14746,4,15524,1,23454,30,23461,4,21712,3,22854,30,23461,7,26866,0,0,0,0,0
2019 11 01 02 00,33,4,11276,3,13857,2,19980,30,21398,4,15214,3,21679,30,21398,2,27079,1,0,1,0,2
2019 11 01 03 00,33,4,4617,3,9716,2,14700,3,17245,4,5885,5,13529,3,18521,30,18581,1,0,1,1,3
2019 11 01 04 00,33,4,3036,5,10503,2,13203,3,15774,4,3160,5,10627,3,15898,2,16800,1,0,1,1,3
2019 11 01 05 00,32,4,3520,5,10546,2,14351,30,17204,4,3588,5,10614,2,17160,30,17204,1,1,1,1,4
2019 11 01 06 00,32,4,4100,5,10694,2,15778,30,17828,4,4106,5,10700,30,17828,2,18241,1,1,1,0,3
2019 11 01 07 00,32,4,5175,5,11275,2,17217,30,17951,4,5175,5,11275,30,17951,2,18898,1,1,1,0,3
2019 11 01 08 00,6,4,7414,5,12412,1,19917,30,19936,4,7414,5,12412,30,19936,2,23542,0,0,0,0,0
2019 11 01 09 00,4,4,7167,3,9960,0,17423,1,21272,4,7167,5,11214,30,21313,7,23105,0,1,0,0,1
2019 11 01 10 00,4,3,5020,4,8479,0,7571,7,15213,3,6848,4,8479,0,11227,7,15213,1,1,1,1,4
2019 11 01 11 00,4,3,994,4,8397,0,3429,7,11905,3,1877,4,8397,0,5195,7,11905,1,1,1,1,4
2019 11 01 12 00,4,3,1078,4,9219,0,1314,7,10203,3,1448,4,9279,0,2024,7,10203,1,1,1,1,4
2019 11 01 13 00,4,3,1027,4,9926,0,954,7,9526,3,1470,4,10434,0,1586,7,9526,1,1,1,1,4
2019 11 01 14 00,4,3,4799,6,14296,0,3034,7,7532,3,7284,6,14328,0,5690,7,7564,1,1,1,1,4
2019 11 01 15 00,40,6,8773,3,11103,7,5142,0,6654,6,9072,3,16729,7,5616,0,12429,1,1,1,1,4
2019 11 01 16 00,40,6,7329,3,19826,7,7300,9,12932,6,9985,7,25344,7,11006,13,14266,1,1,1,1,4
2019 11 01 17 00,40,6,6342,3,18696,7,4908,9,11568,6,7419,7,22440,7,7274,13,12190,1,1,1,1,4
2019 11 01 18 00,40,6,12750,3,14404,7,7210,0,9193,6,13999,3,20850,7,8525,0,16001,1,1,1,1,4
2019 11 01 19 00,4,3,10291,6,18555,0,11728,7,13371,3,15768,6,20694,7,15569,0,18276,1,1,1,0,3
2019 11 01 20 00,4,3,16237,6,16348,7,15023,0,17416,6,20120,3,24672,13,19847,7,20368,1,0,0,0,1
2019 11 01 21 00,40,6,11730,3,22662,7,12900,9,14383,6,16451,14,27562,13,16311,20,17088,1,1,1,0,3
2019 11 01 22 00,40,6,12062,3,23359,7,12111,9,13938,6,17464,14,27608,20,16350,13,16600,1,1,1,0,3
2019 11 01 23 00,40,6,9941,3,21680,7,10225,9,13460,6,14131,14,27940,13,15506,9,15818,1,1,1,0,3
2019 11 02 00 00,40,6,9848,3,16643,7,8280,0,13049,6,12384,7,24777,7,11608,9,16029,1,1,1,1,4
2019 11 02 01 00,40,6,11321,3,14846,7,9038,0,12182,6,13620,3,22378,7,12002,13,17306,1,1,1,1,4
2019 11 02 02 00,40,6,12982,3,17914,7,11305,0,15732,6,16755,3,26940,7,16148,13,17873,1,1,1,1,4
2019 11 02 03 00,40,6,9397,8,18307,9,12622,13,12690,6,12818,8,19355,13,13316,9,15525,1,0,1,0,2
2019 11 02 04 00,52,6,15953,3,21357,9,15769,13,15804,6,20982,8,26535,13,17353,20,18859,0,0,0,0,0
2019 11 02 05 00,40,3,13275,6,15517,7,12664,0,14098,6,17578,3,20321,7,15500,13,20045,0,1,1,1,3
2019 11 02 06 00,40,6,13444,3,15490,7,10860,0,14430,6,15960,3,23687,7,13422,9,19358,1,1,1,1,4
2019 11 02 07 00,40,6,10765,3,17820,7,9626,9,15015,6,13611,7,26640,7,13309,13,16487,1,1,1,1,4
2019 11 02 08 00,40,6,15690,3,20670,7,15346,9,16389,6,20783,14,29239,20,18755,13,18800,1,1,1,0,3
2019 11 02 09 00,40,6,15085,3,15947,7,12321,0,14848,6,18437,3,24057,7,16776,13,18647,1,1,1,1,4
2019 11 02 10 00,4,3,11465,6,19337,0,8355,7,10675,3,15843,6,20340,7,11819,0,13513,1,1,1,0,3
2019 11 02 11 00,4,3,10975,4,13654,0,7774,7,14056,3,13273,4,15452,0,11472,7,14392,1,1,1,1,4
2019 11 02 12 00,4,4,13614,5,15247,0,8010,7,15590,4,13878,5,15511,0,11358,7,15702,0,1,0,1,2
2019 11 02 13 00,6,2,14091,4,17712,0,6116,7,14031,4,17926,2,17941,0,8719,7,14031,1,1,0,1,3
2019 11 02 14 00,6,2,10878,1,20368,0,3536,7,12102,2,13027,4,20768,0,5058,7,12102,1,1,1,1,4
2019 11 02 15 00,6,2,10548,4,16858,0,3298,7,11924,2,13592,4,16858,0,4682,7,11924,1,1,1,1,4
