,WWMF,WME,WME_dist,WME_second,WME_second_dist,W1,W1_dist,W1_second,W1_second_dist,WME_asym,WME_asym_dist,WME_asym_second,WME_asym_second_dist,W1_asym,W1_asym_dist,W1_asym_second,W1_asym_second_dist,WWMF vs WME,WWMF vs W1,WWMF vs WME_asym,WWMF vs W1_asym,WWMF vs (WME and W1 and WME_asym and W1_asym)
2019 12 03 01 00,0,1,1002,2,13915,0,1001,7,7833,1,1496,2,14130,0,1417,7,7833,1,1,1,1,4
2019 12 03 02 00,0,1,736,2,13796,0,562,7,7475,1,1100,2,13917,0,796,7,7475,1,1,1,1,4
2019 12 03 03 00,0,1,294,2,14010,0,291,7,7256,1,437,2,14074,0,411,7,7256,1,1,1,1,4
2019 12 03 04 00,0,1,712,2,13988,0,255,7,7220,1,1008,2,14109,0,377,7,7220,1,1,1,1,4
2019 12 03 05 00,0,1,156,2,14000,0,122,7,7114,1,234,2,14030,0,182,7,7114,1,1,1,1,4
2019 12 03 06 00,0,1,1802,2,13822,0,97,7,7092,1,2491,2,14060,0,149,7,7092,1,1,1,1,4
2019 12 03 07 00,0,1,3298,2,13808,0,356,7,7294,1,4561,2,14286,0,540,7,7294,1,1,1,1,4
2019 12 03 08 00,0,1,2158,2,13917,0,535,7,7433,1,3024,2,14267,0,809,7,7433,1,1,1,1,4
2019 12 03 09 00,0,1,2834,2,14022,0,377,7,7312,1,3903,2,14466,0,569,7,7312,1,1,1,1,4
2019 12 03 10 00,0,2,15616,1,15834,0,10,7,7025,2,18105,4,19696,0,16,7,7025,0,1,0,1,2
2019 12 03 11 00,4,3,12090,4,12855,0,0,7,7018,3,12090,4,12855,0,0,7,7018,1,1,1,1,4
2019 12 03 12 00,4,3,9026,4,11639,0,208,7,6810,3,9234,4,12055,0,416,7,6810,1,1,1,1,4
2019 12 03 13 00,0,2,15986,4,16953,0,51,7,6967,4,17055,5,17106,0,102,7,6967,0,1,0,1,2
2019 12 03 14 00,0,2,16144,1,18360,0,182,7,6836,2,19172,4,19342,0,364,7,6836,0,1,0,1,2
2019 12 03 15 00,0,1,15132,2,16101,0,320,7,6709,2,18738,1,20534,0,638,7,6709,1,1,0,1,3
2019 12 03 16 00,0,1,12861,2,14766,0,161,7,7111,2,16734,1,17388,0,256,7,7111,1,1,0,1,3
2019 12 03 17 00,0,1,5402,2,13968,0,73,7,7073,1,7353,2,14739,0,115,7,7073,1,1,1,1,4
2019 12 03 18 00,0,1,492,2,13794,0,10,7,7025,1,704,2,13831,0,16,7,7025,1,1,1,1,4
2019 12 03 19 00,0,1,5530,2,14554,0,0,7,7018,1,7431,2,15418,0,0,7,7018,1,1,1,1,4
2019 12 03 20 00,0,1,7554,2,15036,0,0,7,7018,1,10109,2,16258,0,0,7,7018,1,1,1,1,4
2019 12 03 21 00,0,1,4362,2,14610,0,6,7,7023,1,5839,2,15316,0,10,7,7023,1,1,1,1,4
2019 12 03 22 00,0,1,1290,2,14059,0,31,7,7042,1,1752,2,14250,0,47,7,7042,1,1,1,1,4
2019 12 03 23 00,0,1,138,2,13995,0,44,7,7052,1,200,2,14014,0,68,7,7052,1,1,1,1,4
2019 12 04 00 00,0,1,16,2,14036,0,13,7,7028,1,24,2,14040,0,21,7,7028,1,1,1,1,4
2019 12 04 01 00,0,1,4,2,14032,0,0,7,7018,1,6,2,14032,0,0,7,7018,1,1,1,1,4
2019 12 04 02 00,0,1,1916,2,13947,0,0,7,7018,1,2613,2,14208,0,0,7,7018,1,1,1,1,4
2019 12 04 03 00,0,1,3550,2,12866,0,0,7,7018,1,4985,2,13206,0,0,7,7018,1,1,1,1,4
